Date;Gold;Silver;Platinum;Palladium
17.06.2021 0:00;4303.16;64.17;2665.59;6394.17
16.06.2021 0:00;4304.46;63.8;2674.34;6355.59
12.06.2021 0:00;4360.1;64.85;2664.06;6381.31
11.06.2021 0:00;4368.5;64.2;2648.49;6413.47
10.06.2021 0:00;4381.15;63.92;2681.37;6477.46
09.06.2021 0:00;4430.04;64.89;2734.75;6588.69
08.06.2021 0:00;4412.9;64.67;2731.61;6663.73
05.06.2021 0:00;4404.19;64.47;2716.18;6673.84
04.06.2021 0:00;4456.92;65.38;2795.95;6703.69
03.06.2021 0:00;4480.03;65.56;2804.89;6718.04
02.06.2021 0:00;4492.16;66.43;2795.09;6748.73
01.06.2021 0:00;4477.3;65.11;2757.15;6638.36
29.05.2021 0:00;4477.3;65.37;2796.46;6690.7
28.05.2021 0:00;4475.59;65.31;2810.46;6534.9
27.05.2021 0:00;4498.4;66.43;2839.4;6571.73
26.05.2021 0:00;4442.93;65.02;2789.22;6449.18
25.05.2021 0:00;4436.75;65.35;2751.62;6614.29
22.05.2021 0:00;4441.88;65.77;2822.23;6699.55
21.05.2021 0:00;4423.47;65.64;2851.41;6772.4
20.05.2021 0:00;4405.96;65.56;2880.45;6824.5
19.05.2021 0:00;4424.77;67.47;2931.05;6937.84
18.05.2021 0:00;4389.05;65.56;2922.95;6888.28
15.05.2021 0:00;4361.99;64.78;2921.47;6942.07
14.05.2021 0:00;4337.3;64.12;2895.04;6837.17
13.05.2021 0:00;4364.77;65.25;2939.84;6996.11
12.05.2021 0:00;4380.12;65.52;2975.47;7092.97
08.05.2021 0:00;4339.29;65.25;2979.46;6981.47
07.05.2021 0:00;4299.44;64.08;2961.16;7061.24
06.05.2021 0:00;4279.51;63.29;2958.03;7213.35
05.05.2021 0:00;4318.79;64.9;2995.41;7227.22
01.05.2021 0:00;4256.31;62.26;2909.25;7178.06
30.04.2021 0:00;4243.98;62.86;2905.61;7004.54
29.04.2021 0:00;4250.44;62.33;2953.85;7056.97
28.04.2021 0:00;4291.88;63.35;2990.74;7099.71
27.04.2021 0:00;4278;62.76;2971.15;6942.31
24.04.2021 0:00;4310.03;63.07;2933.22;6885.23
23.04.2021 0:00;4387.37;64.62;2955.79;6973
22.04.2021 0:00;4398.86;63.99;2934.14;6861.14
21.04.2021 0:00;4314.8;63.25;2935.19;6803.97
20.04.2021 0:00;4384.2;64;2988.33;6888.61
17.04.2021 0:00;4290.88;63.5;2905.2;6655.73
16.04.2021 0:00;4326.28;63.32;2947.71;6741.87
15.04.2021 0:00;4241.89;61.63;2871.24;6540.58
14.04.2021 0:00;4292.18;61.97;2908.48;6708.62
13.04.2021 0:00;4339.97;62.7;2955.53;6573.94
10.04.2021 0:00;4336.55;62.58;3009.37;6514.93
09.04.2021 0:00;4322.38;62.79;3046.51;6479.73
08.04.2021 0:00;4340.8;62.47;3095.57;6571.2
07.04.2021 0:00;4250.9;61.49;2961.55;6566.48
06.04.2021 0:00;4251.11;59.89;2953.03;6502.09
03.04.2021 0:00;4221.6;59.47;2932.53;6456.95
02.04.2021 0:00;4181.97;59.26;2897.9;6409.99
01.04.2021 0:00;4098.42;58.36;2854.93;6388.32
31.03.2021 0:00;4129.57;59.24;2869.55;6221.01
30.03.2021 0:00;4202.9;60.53;2857.27;6399.61
27.03.2021 0:00;4208.46;60.09;2827.8;6415.53
26.03.2021 0:00;4234.9;61.7;2858.04;6463.05
25.03.2021 0:00;4245.63;62.73;2898.89;6431.92
24.03.2021 0:00;4213.91;62.36;2841.98;6263.02
23.03.2021 0:00;4157.94;62.79;2811.3;6318.22
20.03.2021 0:00;4140.83;62.28;2855.58;6214.1
19.03.2021 0:00;4106.63;61.22;2860.74;6185.65
18.03.2021 0:00;4082.32;61.3;2843.84;5852.19
17.03.2021 0:00;4063.59;61.22;2829.01;5604.06
16.03.2021 0:00;4068.26;59.98;2865.37;5591.82
13.03.2021 0:00;4026.77;62.04;2772.2;5525.49
12.03.2021 0:00;4103.11;60.6;2890.03;5505.94
11.03.2021 0:00;4074.08;61.31;2780.33;5474.96
10.03.2021 0:00;4065.79;60.06;2793.54;5529.78
06.03.2021 0:00;4058.47;62.11;2677.65;5594.6
05.03.2021 0:00;4056.73;63.07;2737.62;5553.52
04.03.2021 0:00;4082.19;62.07;2850.6;5554.65
03.03.2021 0:00;4144.35;64.47;2838.82;5605.72
02.03.2021 0:00;4158.78;63.53;2871;5580.11
27.02.2021 0:00;4224.26;66.83;2893.39;5693.45
26.02.2021 0:00;4233.41;65.54;2959.92;5733.22
25.02.2021 0:00;4285.38;66.31;2994.85;5612.67
21.02.2021 0:00;4248.68;64.1;3077.93;5620.67
20.02.2021 0:00;4218.41;64.6;3022.75;5591.25
19.02.2021 0:00;4228.69;64.32;3005.24;5633.35
18.02.2021 0:00;4242.54;65.4;2912.4;5620.83
17.02.2021 0:00;4296.61;64.96;3077.34;5638.65
16.02.2021 0:00;4283.63;63.8;3026.32;5663.74
13.02.2021 0:00;4321.67;64.48;2916.77;5591.07
12.02.2021 0:00;4367.35;64.57;2971.33;5617.78
11.02.2021 0:00;4377.11;65.62;2884.91;5579.87
10.02.2021 0:00;4400.3;64.77;2816.69;5602.4
09.02.2021 0:00;4325.35;63.34;2743.26;5605.89
06.02.2021 0:00;4367.4;63.75;2687.74;5597.65
05.02.2021 0:00;4410.67;65.25;2639.27;5495.23
04.02.2021 0:00;4487.73;66.84;2675.96;5488.89
03.02.2021 0:00;4507.67;72.2;2689.33;5532.4
02.02.2021 0:00;4509.9;66.55;2709.15;5529.96
30.01.2021 0:00;4542.04;61.79;2664.87;5712.18
29.01.2021 0:00;4506.07;61.69;2589.03;5636.11
28.01.2021 0:00;4454.61;61.28;2622.49;5592.38
27.01.2021 0:00;4506.49;62.34;2643.29;5653.78
26.01.2021 0:00;4465.88;60.94;2661.81;5699.07
23.01.2021 0:00;4431.54;61.84;2632.24;5649.4
22.01.2021 0:00;4405.56;59.67;2644.3;5630.64
21.01.2021 0:00;4373.92;59.66;2584.82;5589.45
20.01.2021 0:00;4368.68;58.94;2607.32;5650.77
19.01.2021 0:00;4361.69;60.04;2566.19;5650.84
16.01.2021 0:00;4383.49;59.7;2589.17;5655.97
15.01.2021 0:00;4366.17;60.11;2631.21;5658.65
14.01.2021 0:00;4378.94;60.34;2541.22;5652.15
13.01.2021 0:00;4445.57;59.74;2540.53;5687.54
12.01.2021 0:00;4426.84;63.83;2498.75;5653.93
01.01.2021 0:00;4491.66;62.48;2553.29;5629.12
31.12.2020 0:00;4459.48;62.11;2522.42;5562.62
30.12.2020 0:00;4437.61;61.05;2465.21;5612.44
29.12.2020 0:00;4438.08;61.1;2419.84;5517.53
26.12.2020 0:00;4436.55;61.08;2419.01;5515.62
25.12.2020 0:00;4505.61;60.91;2456.66;5601.48
24.12.2020 0:00;4529.59;62.52;2459.96;5667.14
23.12.2020 0:00;4538.16;63.36;2432.24;5603.36
22.12.2020 0:00;4487.62;61.98;2439.17;5567.37
19.12.2020 0:00;4428.96;60.67;2446.72;5503.94
18.12.2020 0:00;4392.15;58.96;2463.61;5527.88
17.12.2020 0:00;4393.73;57.16;2473.81;5507.07
16.12.2020 0:00;4354.98;56.33;2413.27;5490.07
15.12.2020 0:00;4267.87;55.84;2382.18;5448.99
12.12.2020 0:00;4310.63;56.15;2402.56;5470.42
11.12.2020 0:00;4346.88;57.08;2393.61;5422.35
10.12.2020 0:00;4383.23;57.68;2418.11;5439.57
09.12.2020 0:00;4415.66;56.25;2420.38;5480.2
08.12.2020 0:00;4375.28;57.83;2454.05;5557.43
05.12.2020 0:00;4390.93;57.7;2501.87;5591.02
04.12.2020 0:00;4436.04;57.98;2470.91;5821.87
03.12.2020 0:00;4456.05;57.22;2440.8;5878.35
02.12.2020 0:00;4407.43;54.35;2409.59;5889.01
01.12.2020 0:00;4341.07;56.68;2359.24;5889.52
28.11.2020 0:00;4409.74;56.97;2336.51;5829.09
27.11.2020 0:00;4402.52;56.79;2336.07;5732.24
26.11.2020 0:00;4388.45;56.19;2339.15;5670.73
25.11.2020 0:00;4431.61;58.27;2283.93;5689.11
24.11.2020 0:00;4539.73;58.86;2313.95;5687.45
21.11.2020 0:00;4562.65;58.6;2324.09;5706.37
20.11.2020 0:00;4554.16;59.62;2304.79;5678.6
19.11.2020 0:00;4582.44;60.12;2279.99;5712.18
18.11.2020 0:00;4622.23;59.49;2270.17;5712.2
17.11.2020 0:00;4680.45;59.96;2243.03;5799.24
14.11.2020 0:00;4669.38;60.2;2212.62;5842.32
13.11.2020 0:00;4631.33;60.02;2164.43;5838.74
12.11.2020 0:00;4596.93;59.28;2173.26;6039.56
11.11.2020 0:00;4605.21;61.66;2149.21;6098.86
10.11.2020 0:00;4842.82;63.78;2236.54;6044.1
07.11.2020 0:00;4834.1;60.97;2235.95;5933.59
06.11.2020 0:00;4834.96;60.47;2239.9;5902.45
04.11.2020 0:00;4886.56;61.67;2242.85;5789.75
03.11.2020 0:00;4887.7;61.2;2222.68;5787.27
31.10.2020 0:00;4784.4;58.7;2183.31;5677.62
30.10.2020 0:00;4759.17;60.67;2195.94;5662.27
29.10.2020 0:00;4729.52;60.93;2179.19;5812.01
28.10.2020 0:00;4667.69;59.68;2145.92;5813.41
27.10.2020 0:00;4673.64;60.85;2189.85;5807.64
24.10.2020 0:00;4697.13;60.87;2192.95;5853.59
23.10.2020 0:00;4750.35;61.74;2210.56;5957.61
22.10.2020 0:00;4752.55;61.97;2169.54;5943.94
21.10.2020 0:00;4767.05;61.59;2138.03;5876.45
20.10.2020 0:00;4785.15;62.23;2184.64;5874.97
17.10.2020 0:00;4783.12;61.06;2163.21;5883.02
16.10.2020 0:00;4740.64;59.98;2142.65;5881.64
15.10.2020 0:00;4711.68;60.06;2176.4;5875.79
14.10.2020 0:00;4772.77;61.96;2164.25;6003.24
13.10.2020 0:00;4754.14;62.06;2199.02;6067.12
10.10.2020 0:00;4736.09;60.22;2176.86;5968.41
09.10.2020 0:00;4737.92;60.02;2169.37;5931.95
08.10.2020 0:00;4740.23;59.08;2169.26;5925.29
07.10.2020 0:00;4827.56;61.34;2244.03;5926.86
06.10.2020 0:00;4771.68;60.07;2212.96;5814.99
03.10.2020 0:00;4786.39;59.92;2244.56;5802.22
02.10.2020 0:00;4709.54;58.68;2233.59;5769.07
01.10.2020 0:00;4770.62;60.1;2208.76;5848.66
30.09.2020 0:00;4822.55;61.06;2239.11;5802.74
29.09.2020 0:00;4681.68;57.9;2157.53;5632.84
26.09.2020 0:00;4618.65;55.89;2116.62;5522.48
25.09.2020 0:00;4592.32;55.14;2081.83;5520.96
24.09.2020 0:00;4635.01;57.92;2096.44;5479.23
23.09.2020 0:00;4666.73;59.59;2172.62;5559.07
22.09.2020 0:00;4720.43;64.44;2261.33;5737.66
19.09.2020 0:00;4715.5;65.28;2274.83;5659.33
18.09.2020 0:00;4680.61;64.66;2299.08;5717.49
17.09.2020 0:00;4733.17;65.96;2363.21;5721.33
16.09.2020 0:00;4746.61;66.59;2332.75;5630.03
15.09.2020 0:00;4665.67;64.58;2258.01;5582.56
12.09.2020 0:00;4681.88;64.71;2239.21;5547.47
11.09.2020 0:00;4722.48;65.82;2241.28;5563.14
10.09.2020 0:00;4716.38;64.9;2228.08;5517.61
09.09.2020 0:00;4690.71;65.15;2220.06;5646.63
08.09.2020 0:00;4686.6;65.21;2201.86;5589.7
05.09.2020 0:00;4683.5;64.82;2187.53;5518.39
04.09.2020 0:00;4692.8;65.27;2215.26;5566.05
03.09.2020 0:00;4675.61;65.79;2222.64;5350
02.09.2020 0:00;4703.11;68.34;2247.52;5377.48
01.09.2020 0:00;4644.5;64.9;2206.75;5163.32
29.08.2020 0:00;4693.4;65.63;2231.7;5231.29
28.08.2020 0:00;4689.71;65.9;2256.81;5282.82
27.08.2020 0:00;4659.27;64.1;2239.17;5257.91
26.08.2020 0:00;4612.67;63.47;2208.77;5188.94
25.08.2020 0:00;4659.72;64.33;2215.55;5191.95
22.08.2020 0:00;4604.75;63.97;2172.72;5193.56
21.08.2020 0:00;4572.94;63.84;2208.14;5146.79
20.08.2020 0:00;4693.26;64.61;2241.67;5163.84
19.08.2020 0:00;4733.95;66.87;2294.79;5229.38
18.08.2020 0:00;4574.27;63.14;2240.39;5109.5
15.08.2020 0:00;4586.18;62.86;2224.47;5060.97
14.08.2020 0:00;4569.73;62.12;2224.52;5076.16
13.08.2020 0:00;4548.31;60.77;2208.58;5015.22
12.08.2020 0:00;4695.8;66.51;2239.01;5127.13
11.08.2020 0:00;4815.71;67.05;2305.51;5194.5
08.08.2020 0:00;4880.61;67.07;2305.95;5170.62
07.08.2020 0:00;4811.98;65.48;2294.27;5213.18
06.08.2020 0:00;4793.21;63.48;2245.29;5074.88
05.08.2020 0:00;4653.01;57.4;2177.58;4954.4
04.08.2020 0:00;4704.01;57.77;2160.13;5018.85
01.08.2020 0:00;4661.68;56.82;2143.52;4943.31
31.07.2020 0:00;4604.62;54.63;2141.68;4917.85
30.07.2020 0:00;4538.78;56.52;2194.67;5271.85
29.07.2020 0:00;4466.49;54.44;2141.16;5274.28
28.07.2020 0:00;4466.19;56.1;2165.72;5206.01
25.07.2020 0:00;4359.47;51.74;2110.85;4914.57
24.07.2020 0:00;4294.6;52.16;2117.24;4918.94
23.07.2020 0:00;4212.67;50.63;1998.23;4799.85
22.07.2020 0:00;4159.87;46.9;1943.95;4750.36
21.07.2020 0:00;4188.41;44.98;1948.1;4689.78
18.07.2020 0:00;4156.86;44.18;1902.16;4569.81
17.07.2020 0:00;4132.77;44.07;1893.94;4525.29
16.07.2020 0:00;4118.45;44;1896.13;4497.9
15.07.2020 0:00;4112.12;43.21;1882.04;4534.73
14.07.2020 0:00;4112.58;43.43;1906.11;4510.52
11.07.2020 0:00;4135.33;42.98;1928.26;4456.51
10.07.2020 0:00;4130.29;42.92;1955.25;4455.14
09.07.2020 0:00;4121.14;42.34;1923.89;4408.92
08.07.2020 0:00;4119.83;41.81;1907.35;4462.09
07.07.2020 0:00;4069.87;41.87;1878.51;4403.83
04.07.2020 0:00;4022.46;40.84;1840.5;4329.25
03.07.2020 0:00;4017.25;40.64;1863.69;4319.14
02.07.2020 0:00;4047.99;41.26;1868.41;4382.27
01.07.2020 0:00;4010.17;40.41;1834.44;4334.71
30.06.2020 0:00;3978;40.27;1826.18;4216.85
27.06.2020 0:00;3916.32;39.63;1782.47;4102.79
26.06.2020 0:00;3927.51;39.15;1802.34;4176.42
25.06.2020 0:00;3929.94;39.52;1828.09;4293.57
24.06.2020 0:00;3887.67;39.42;1825.87;4271.43
23.06.2020 0:00;3899.24;39.9;1807.26;4284.71
20.06.2020 0:00;3866.43;39.2;1800.63;4247.69
19.06.2020 0:00;3878.14;39.43;1828.67;4326.57
18.06.2020 0:00;3836.28;39.03;1822.86;4309.2
17.06.2020 0:00;3875.98;39.04;1861.35;4408.93
16.06.2020 0:00;3871.06;38.67;1821.92;4304.7
12.06.2020 0:00;3848.83;39.72;1833.41;4282.41
11.06.2020 0:00;3789.36;39.08;1850.94;4246.8
10.06.2020 0:00;3770.05;38.93;1817.13;4345.22
09.06.2020 0:00;3716.12;38.72;1827.31;4282.77
06.06.2020 0:00;3772.23;38.79;1842.48;4247.64
05.06.2020 0:00;3786.42;39.39;1848.33;4326.83
04.06.2020 0:00;3773.95;39.24;1819.3;4288.98
03.06.2020 0:00;3859.62;40.52;1876.31;4333.69
02.06.2020 0:00;3888.16;40.7;1873.7;4336.86
30.05.2020 0:00;3925.38;40.01;1910.77;4369.75
29.05.2020 0:00;3939.39;39.64;1911.06;4434.75
28.05.2020 0:00;3895.83;39.27;1898.62;4489.52
27.05.2020 0:00;3940.32;39.57;1914.41;4476.11
26.05.2020 0:00;3990.41;39.13;1922.06;4408.08
23.05.2020 0:00;4003.7;39.29;1915.82;4575.79
22.05.2020 0:00;3951.23;39.23;1922.26;4647.17
21.05.2020 0:00;4070.13;40.63;1976.86;4809.59
20.05.2020 0:00;4038.71;39.85;1875.92;4633.95
19.05.2020 0:00;4122.31;40.71;1914.62;4505
16.05.2020 0:00;4083.17;38.25;1821.7;4295.34
15.05.2020 0:00;4079.71;36.91;1818.33;4302.18
14.05.2020 0:00;4021.35;36.81;1797.94;4341.08
13.05.2020 0:00;4021.69;36.56;1810.82;4403.1
09.05.2020 0:00;4047.21;35.58;1800.29;4298.85
08.05.2020 0:00;4023.9;35.7;1794.33;4324.99
07.05.2020 0:00;4040.41;35.85;1795.58;4221.39
01.05.2020 0:00;4014.11;35.86;1819.12;4655.36
30.04.2020 0:00;4041.8;35.93;1847.95;4638.83
29.04.2020 0:00;4095.17;36.31;1834.09;4586.41
28.04.2020 0:00;4112.99;36.42;1832.25;4759.06
25.04.2020 0:00;4149.17;36.79;1840.07;4900.45
24.04.2020 0:00;4172.81;36.97;1850.24;4710.13
23.04.2020 0:00;4217.37;36.93;1872.57;4842.42
22.04.2020 0:00;4115.41;36.7;1870.64;5234.36
21.04.2020 0:00;4044.82;36.37;1874.83;5197.2
18.04.2020 0:00;4025.22;36.04;1842.45;5182.64
17.04.2020 0:00;4126.35;37.23;1907.22;5315.72
16.04.2020 0:00;4057.99;36.9;1848.58;5282.67
15.04.2020 0:00;4044.48;36.56;1810.28;5256.4
14.04.2020 0:00;3972.83;35.87;1737.44;5120.13
11.04.2020 0:00;3985.1;35.98;1742.81;5135.94
10.04.2020 0:00;3987.68;36.4;1765.37;5228.96
09.04.2020 0:00;4016.12;36.69;1797.34;5260.49
08.04.2020 0:00;4008.13;36.57;1807.32;5312.79
07.04.2020 0:00;4020.39;35.76;1798.2;5207.89
28.03.2020 0:00;4051.63;36.03;1861.87;5923
27.03.2020 0:00;4100.44;35.35;1847.61;5714.95
26.03.2020 0:00;4054.15;34.08;1835.8;5119.74
25.03.2020 0:00;4054.83;31.71;1721.31;4613.81
24.03.2020 0:00;3886.3;32.84;1607.05;4314.06
21.03.2020 0:00;3774.94;30.12;1575.77;4275.64
20.03.2020 0:00;3815.92;32.01;1564.3;4105.33
19.03.2020 0:00;3738.58;30.88;1618.56;3942.14
18.03.2020 0:00;3497.72;30.8;1522.76;3760.58
17.03.2020 0:00;3585.9;37.58;1699.23;4099.12
14.03.2020 0:00;3737;38.88;1884.8;4647.28
13.03.2020 0:00;3895.28;40.51;2042.07;5307.48
12.03.2020 0:00;3820.22;39.22;2022.13;5439.07
11.03.2020 0:00;3837.74;39.1;2033.03;5691.55
07.03.2020 0:00;3662.03;37.34;1890.71;5350.87
06.03.2020 0:00;3505.62;36.71;1844.9;5309.13
05.03.2020 0:00;3494.33;35.71;1863.16;5175.2
04.03.2020 0:00;3415.91;36.13;1860.64;5374.71
03.03.2020 0:00;3432.64;36.65;1863.78;5672.38
29.02.2020 0:00;3502.84;38.88;1895.35;5907.89
28.02.2020 0:00;3473.34;38.13;1934.32;5895.77
27.02.2020 0:00;3471.31;38.61;1963.2;5727.41
26.02.2020 0:00;3456.3;39.19;2018.39;5585.53
22.02.2020 0:00;3377.38;38.01;2032.17;5610.7
21.02.2020 0:00;3300.14;37.59;2041.13;5543.43
20.02.2020 0:00;3295.6;36.62;2084.45;5704.59
19.02.2020 0:00;3256.2;36.49;2009.24;5211.72
18.02.2020 0:00;3216.56;36.04;1970.28;5029.51
15.02.2020 0:00;3215.88;35.99;1982.96;4979.83
14.02.2020 0:00;3220.62;35.91;1973.27;4907.61
13.02.2020 0:00;3175.81;35.89;1958.09;4745.22
12.02.2020 0:00;3223.2;36.57;1984.05;4788.44
11.02.2020 0:00;3227.24;36.43;1988.77;4853.01
08.02.2020 0:00;3200.38;36.25;1977.41;4771.09
07.02.2020 0:00;3159.22;35.57;1970.54;4873.85
06.02.2020 0:00;3152.67;36.01;1972.19;5043.21
05.02.2020 0:00;3204.39;36.24;1998.67;4902.85
04.02.2020 0:00;3244.1;36.75;1956.1;4686.82
01.02.2020 0:00;3209.04;35.98;1977.17;4668.88
31.01.2020 0:00;3202.92;35.41;1967.88;4600.49
30.01.2020 0:00;3151.82;36.06;1989.94;4661.93
29.01.2020 0:00;3190.83;36.96;1987.71;4607.68
28.01.2020 0:00;3173.57;35.74;1990.18;4764.01
25.01.2020 0:00;3103.42;34.97;1994.96;4894.02
24.01.2020 0:00;3095.33;35.39;1999.75;4937.64
23.01.2020 0:00;3097.53;35.75;1986.03;4805.04
22.01.2020 0:00;3094.9;35.91;2000.62;4904.11
21.01.2020 0:00;3081.32;35.69;2025.56;5084.65
18.01.2020 0:00;3079.29;35.63;2009.99;4684.71
17.01.2020 0:00;3078.52;35.33;2044.82;4683.5
16.01.2020 0:00;3065.17;35.1;1971.16;4317.59
15.01.2020 0:00;3050.51;35.51;1911.32;4239.26
14.01.2020 0:00;3037.92;35.1;1896.8;4148.27
11.01.2020 0:00;3050.6;35.28;1916.48;4175.67
10.01.2020 0:00;3047.28;36.26;1878.16;4173.68
01.01.2020 0:00;3031.25;35.48;1932.59;3821.4
31.12.2019 0:00;3008.36;35.48;1896.77;3795.53
28.12.2019 0:00;3012.68;35.07;1894.64;3785.29
27.12.2019 0:00;2960.64;34.92;1856.79;3725.5
26.12.2019 0:00;2958.18;34.89;1855.25;3722.41
25.12.2019 0:00;2979.8;34.73;1868.81;3749.61
24.12.2019 0:00;2969.95;34.09;1845.27;3764.59
21.12.2019 0:00;2963.3;33.99;1867.99;3890.47
20.12.2019 0:00;2964.03;34.17;1863.58;3871.9
19.12.2019 0:00;2975.68;34.33;1871.25;3895.41
18.12.2019 0:00;2972.28;34.22;1869.74;4000.83
17.12.2019 0:00;2981.48;34.18;1880.83;3957.41
14.12.2019 0:00;2957.63;33.92;1886.48;3959.99
13.12.2019 0:00;2997.7;33.87;1910.79;3917.11
12.12.2019 0:00;3000.21;34.08;1878.13;3880.93
11.12.2019 0:00;2993.49;33.97;1843.78;3842.92
10.12.2019 0:00;2998.6;34.71;1823.42;3845.57
07.12.2019 0:00;3021.37;34.56;1837.59;3826.78
06.12.2019 0:00;3025.36;35.14;1823.92;3816.07
05.12.2019 0:00;3046.02;35.11;1874.03;3836.81
04.12.2019 0:00;3032.19;34.8;1858;3837.66
03.12.2019 0:00;3018.22;35.13;1853.38;3812.38
30.11.2019 0:00;3000.48;34.91;1843.94;3790.9
29.11.2019 0:00;3003.83;35.15;1838.3;3777.59
28.11.2019 0:00;3002.45;34.83;1853.13;3710.38
27.11.2019 0:00;3000.45;34.73;1850.51;3717.5
26.11.2019 0:00;2991.94;35.21;1830.69;3661.39
23.11.2019 0:00;3013.7;35.01;1866.02;3625.54
22.11.2019 0:00;3015.06;35.13;1871.97;3620.78
21.11.2019 0:00;3037.48;35.25;1877.2;3635.01
20.11.2019 0:00;3003.55;34.44;1835.06;3528.65
